"Product","BoM Lines/Component","BoM Lines/Quantity"
"","[H506] PANEL-LOCK","47.0"
"","[H503] 2-LOCK","3.0"
"","[H504] 3-LOCK","4.0"
"","[H404] 2-PIN","3.0"
"","[H405] 3-PIN","4.0"
"","[H403] 1.5-PIN","47.0"
"[C305] MR2 BAG 5: LANDING GEAR","[i501] CLEARANCE THREAD ADAPTER","5.0"
"","[i502] INTERFERENCE THREAD ADAPTER","5.0"
"","[F807] WHITE SILICONE CAP","4.0"
"","[F707] EXTENSION PLUG","4.0"
"","[G507] #4 WASHER","21.0"
"","[F403] SHROUD STUD","4.0"
"[C201] MR2 BAG 6: TOOLS","[B503] MINDS-i TOOL","1.0"
"","[G304] MOTOR SPANNER WRENCH","1.0"
"","[B504] 8mm  HEX DRIVER DYNAMITE","1.0"
"","[G509] 3/32 HEX KEY","1.0"
"","3/8"" 32 OZ. ELASTIC BAND","2.0"
"","[E707] CABLE TIE 8""","4.0"
"","[E706] CABLE TIE 4""","4.0"
"","[E802A] VELCRO HOOK 12""","1.0"
"","[E802B] VELCRO LOOP 12""","1.0"
"","[E702] VELCRO STRAPS","1.0"
"[C202] MR2 BAG 7: APM","[B803] POWER MODULE WITH BATTERY HARNESS","1.0"
"","[F601] APM FLIGHT CONTROLLER","1.0"
"","[F602] GPS","1.0"
"","[F603] TELEMETRY KIT","2.0"
"","[B501] MALE TO MALE SERVO LEAD","5.0"
"[A902] GIMBAL KIT","[A804] GIMBAL BAG 1","1.0"
"","[A805] GIMBAL BAG 2","1.0"
"","[A806] GIMBAL BAG 3","1.0"
"","[A401] HS-485HB SERVO (With Hardware)","1.0"
"PID TEST RACK","[D505] 3/4 IN PVC PIPE 12""","16.0"
"","[D503] 3/4 IN PVC ELBOWS","8.0"
"","[D502] 3/4 IN PVC COUPLING WITH CENTERHOLE","4.0"
"","[D501] 3/4 IN PVC CROSS","2.0"
"","[D504] PARACORD 4'","3.0"
"[B803] POWER MODULE WITH BATTERY HARNESS","[B802] JST TO BULLET CABLE","1.0"
"","[B801] POWER MODULE WITH XT60 CONNECTORS","1.0"
"","SHRINK TUBING 0.75""","1.0"
"6x6","[L201] CORRUGATED BOXES 18x12x6","1.0"
"","6x6 WHEELS AND TIRES","1.0"
"","[C401] 6x6 BAG 1: BEAMS 1","1.0"
"","[C402] 6x6 BAG 2: BEAMS 2","1.0"
"","[C403] 6x6 BAG 3: TRANSITIONS","1.0"
"","[C404] 6x6 BAG 4: CONNECTORS 1","1.0"
"","[C405] 6x6 BAG 5: CONNECTORS 2","1.0"
"","[A701] MOTOR GEARBOX","1.0"
"","[A702] DIFFERENTIAL W/ SPOOL","2.0"
"","[A703] DUAL OUTPUT DIFFERENTIAL","1.0"
"","[A610] 5mm AXLE REAR HUB","1.0"
"","[A706] 5mm AXLE STEERING HUB","2.0"
"","[A602] 6x6 STEERING","2.0"
"","[A604] 6x6 DRIVELINE","1.0"
