Order Reference,Creation Date,Customer,Total,Order Lines/Product,Order Lines/Quantity,Order Lines/Delivered Quantity,Order Lines/Unit Price,Enter,Deliv
S00010,11/11/2021 13:48,CAVIT School,24073,[MCK-FDLB-6X6] FOUNDATIONS LAB 6x6 (90 Hour),10,0,2086,0,0
,,,,[MCK-UALB-MR2] UAV DRONE LAB,1,0,2100,0,0
,,,,[MCK-FDSL-090] FOUNDATIONS CURRICULUM,1,0,556.5,0,0
,,,,[MCK-UASL-045] DRONE CURRICULUM 45,1,0,556.5,0,0
S00008,11/11/2021 9:57,Liberty High School,7601.48,[MCK-FDLB-4X4] FOUNDATIONS LAB 4x4 (90 Hour),2,2,1855,0,0
,,,,[MCK-FDSL-090] FOUNDATIONS CURRICULUM,1,1,556.5,0,0
,,,,[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE,1,1,759.5,0,0
,,,,[PTT-ARD2-001] ARDUINO ROBOT,8,8,279.3,0,0
,,,,STORAGE BIN,2,2,94.5,0,0
,,,,Shipping,1,0,152.08,0,0
,,,,,0,0,0,0,0
S00007,11/9/2021 7:41,Escanaba Senior High School,10458.55,[MCK-DRLB-MR2] DRONES LAB UGV + UAV,2,2,3710,0,0
,,,,[PTT-ARD2-001] ARDUINO ROBOT,2,2,279.3,0,0
,,,,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,1,1,1750,0,0
,,,,[MIC-SUL-100] WEB BASED CURRIULUM ANNUAL SUBSCRIPTION FOR ONE PRODUCT,1,1,556.5,0,0
,,,,Shipping,1,0,173.45,0,0
,,,,,0,0,0,0,0
S00006,11/8/2021 11:24,Granton Area School District,2512,[MCK-UALB-MR2] UAV DRONE LAB,1,1,2250,0,0
,,,,[MCK-UASL-045] DRONE CURRICULUM 45,1,1,262,0,0
S00005,11/3/2021 11:46,Auburn School District 408,,[C303] MR2 BAG 3: ESC,24,24,0,0,0
,,,,[C202] MR2 BAG 7: APM,24,24,0,0,0
,,,,MULTIROTOR INSTRUCTIONS,24,24,0,0,0
S00004,11/3/2021 9:09,Longview School District No. 122,,[C803] ARDUINO ROBOT BAG 3: SCREWS,120,120,0,0,0
,,,,[C805] ARDUINO ROBOT BAG 5: ELECTRONICS,120,120,0,0,0
,,,,[A402] CONTINUOUS ROTATION ROBOTIC SERVO (With Hardware),240,240,0,0,0
,,,,[A505] TAMIYA CHARGER ADAPTER,120,120,0,0,0
,,,,[E101] ARDUINO ROBOT INSTRUCTIONS,120,120,0,0,0
,,,,[E406] ARDUINO USER GUIDE INSTRUCTIONS,120,120,0,0,0
,,,,[F604] USB DRIVE,120,120,0,0,0
,,,,,0,0,0,0,0
S00003,11/2/2021 9:16,Val Verde USD,55060.52,[MCK-UALB-MR2] UAV DRONE LAB,25,25,2100,0,0
,,,,[MCK-DRGY-001] UAV DRONE GIMBAL RIG,1,1,1750,0,0
,,,,Shipping,1,0,810.52,0,0
,,,,,0,0,0,0,0
S00002,10/27/2021 10:03,Cliff Park High School,7741.25,[MCK-FDLB-4X4] FOUNDATIONS LAB 4x4 (90 Hour),2,2,1987.5,0,0
,,,,[MCK-FDSL-090] FOUNDATIONS CURRICULUM,1,1,556.5,0,0
,,,,[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE,1,1,813.75,0,0
,,,,[PTT-ARD2-001] ARDUINO ROBOT,8,8,299.25,0,0
,,,,STORAGE BIN,2,2,1,0,0
S00001,10/20/2021 15:27,Bark River-Harris School,6971.25,[MCK-UALB-MR2] UAV DRONE LAB,1,0,2250,0,0
,,,,[MCK-FDLB-4X4] FOUNDATIONS LAB 4x4 (90 Hour),2,2,1987.5,0,0
,,,,[MIC-DUL-100] WEB BASED CURRICULUM ANNUAL SUBSCRIPTION FOR TWO PRODUCTS,1,0,746.25,0,0
