"Status","Order Reference","Creation Date","Customer/ID","Customer","Order Lines/Product/ID","Order Lines/Product","Order Lines/Quantity","Order Lines/Delivered Quantity","Order Lines/Unit Price","Total"
"","","","","","__export__.product_product_599_68534bb8","RACECAR BODY","1.0","1.0","18.0",""
"","","","","","__export__.product_product_397_156914b4","4x4","1.0","0.0","1.0",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00060","2022-04-13 10:42:23","__export__.res_partner_182_7a945b3a","Nettie E Karcher Middle School","__export__.product_product_383_1c3e2d45","[MCK-ECLB-2WD] ELECTRIC CAR LAB","6.0","6.0","625.0","4503.21"
"","","","","","__export__.product_product_461_7f8be68b","[MCK-ECSL-045] ELECTRIC CAR CURRICULUM (Digital)","1.0","0.0","596.25",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","156.96",""
"","","","","","","","0.0","0.0","0.0",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00059","2022-03-30 11:43:57","__export__.res_partner_181_711f78a4","Glendale high school","__export__.product_product_379_25b00eb2","[MCK-FDLB-6X6] FOUNDATIONS LAB 6x6 (90 Hour)","1.0","0.0","3000.0","3000.0"
"Sales Order","S00058","2022-03-28 11:53:58","__export__.res_partner_180_698d5e20","Beth Tfiloh High School","__export__.product_product_1_c386ce79","[MCK-UALB-MR2] UAV DRONE LAB","3.0","0.0","3100.0","12795.0"
"","","","","","__export__.product_product_481_d737f17f","[MIC-SUL-100] WEB BASED CURRIULUM ANNUAL SUBSCRIPTION FOR ONE PRODUCT","1.0","0.0","995.0",""
"","","","","","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","1.0","0.0","2500.0",""
"Sales Order","S00056","2022-03-15 10:12:43","__export__.res_partner_141_59b03504","LAB Midwest","__export__.product_product_383_1c3e2d45","[MCK-ECLB-2WD] ELECTRIC CAR LAB","6.0","6.0","625.0","4499.19"
"","","","","","__export__.product_product_461_7f8be68b","[MCK-ECSL-045] ELECTRIC CAR CURRICULUM (Digital)","1.0","1.0","596.25",""
"","","","","","__export__.product_product_491_48364231","Shipping","6.0","0.0","25.49",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00055","2022-03-15 10:10:27","__export__.res_partner_104_da6791f8","Technical Training Aids","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","2.0","0.0","1200.0","2400.0"
"Sales Order","S00054","2022-03-15 09:50:47","__export__.res_partner_115_2569bc4b","Marshall County Material Center, Trent Powell","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","8.0","0.0","2500.0","170060.0"
"","","","","","__export__.product_product_383_1c3e2d45","[MCK-ECLB-2WD] ELECTRIC CAR LAB","20.0","0.0","625.0",""
"","","","","","__export__.product_product_379_25b00eb2","[MCK-FDLB-6X6] FOUNDATIONS LAB 6x6 (90 Hour)","20.0","0.0","3000.0",""
"","","","","","__export__.product_product_432_698c46a5","[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE","4.0","0.0","1100.0",""
"","","","","","__export__.product_product_1_c386ce79","[MCK-UALB-MR2] UAV DRONE LAB","20.0","0.0","3100.0",""
"","","","","","__export__.product_product_482_c5a75e83","[MIC-MUL-100] WEB BASED CURRICULUM ANNUAL SUBSCRIPTION FOR THREE OR MORE PRODUCTS","8.0","0.0","1395.0",""
"Sales Order","S00051","2022-02-09 13:09:28","__export__.res_partner_174_0973e44d","Cosby High School, Ligon, John","__export__.product_product_1_c386ce79","[MCK-UALB-MR2] UAV DRONE LAB","10.0","10.0","2100.0","24214.84"
"","","","","","__export__.product_product_447_5c01088f","[CPK-UAM2-001] COMPETITION KIT UAV","2.0","2.0","840.0",""
"","","","","","__export__.product_product_425_faa2b301","[MCK-UASL-045] DRONE CURRICULUM 45","1.0","1.0","556.0",""
"","","","","","__export__.product_product_563_dd768755","[CPK-FLDE-001] PVC FIELD ELEMENTS","1.0","1.0","419.3",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","559.54",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00050","2022-02-09 13:01:25","__export__.res_partner_173_a71ba970","Matoaca high school, Troy Guerra","__export__.product_product_1_c386ce79","[MCK-UALB-MR2] UAV DRONE LAB","10.0","10.0","2100.0","24305.93"
"","","","","","__export__.product_product_447_5c01088f","[CPK-UAM2-001] COMPETITION KIT UAV","2.0","2.0","840.0",""
"","","","","","__export__.product_product_425_faa2b301","[MCK-UASL-045] DRONE CURRICULUM 45","1.0","1.0","556.5",""
"","","","","","__export__.product_product_563_dd768755","[CPK-FLDE-001] PVC FIELD ELEMENTS","1.0","1.0","419.3",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","650.13",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00049","2022-02-04 12:18:09","__export__.res_partner_169_633be8b5","Naselle Grays-River Valley SD, GREG NELSON","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","1.0","0.0","1750.0","10706.5"
"","","","","","__export__.product_product_1_c386ce79","[MCK-UALB-MR2] UAV DRONE LAB","4.0","0.0","2100.0",""
"","","","","","__export__.product_product_425_faa2b301","[MCK-UASL-045] DRONE CURRICULUM 45","1.0","0.0","556.5",""
"Sales Order","S00048","2022-02-02 14:21:23","__export__.res_partner_167_ef218988","Buena Park High School, Maroun Nehme","__export__.product_product_47_8ab96e00","[B404] LIPO BATTERY","42.0","42.0","24.0","1021.09"
